Problem,Solution
thirty one divided by forty five,zero point six nine
nine plus seventy,seventy nine
forty five divided by four,eleven point two five
eleven minus sixteen,minus five
sixty eight divided by thirty seven,one point eight four
sixteen plus forty six,sixty two
forty plus four,forty four
thirty three times fifty four,one thousand seven hundred and eighty two
fifty seven plus eighty five,one hundred and forty two
eighty two plus forty three,one hundred and twenty five
seventy eight times fifty nine,four thousand six hundred and two
seventy nine times sixty nine,five thousand four hundred and fifty one
sixty nine minus five,sixty four
thirty seven plus eighty,one hundred and seventeen
ninety five minus twenty,seventy five
fifty three plus fifty five,one hundred and eight
ninety two plus thirty six,one hundred and twenty eight
sixty eight divided by seventy two,zero point nine four
nineteen minus ninety two,minus seventy three
thirty nine divided by thirty eight,one point zero three
thirty seven minus ten,twenty seven
ninety eight times sixty,five thousand eight hundred and eighty
eighty eight minus thirty three,fifty five
one minus eleven,minus ten
fifty five minus eighteen,thirty seven
twenty divided by forty seven,zero point four three
ninety six times eight,seven hundred and sixty eight
forty six plus fifty six,one hundred and two
twenty plus sixty nine,eighty nine
eighty six plus fifty five,one hundred and forty one
ninety one times fifty four,four thousand nine hundred and fourteen
twenty eight minus fifty,minus twenty two
eighty six divided by nineteen,four point five three
seventy six times fifty nine,four thousand four hundred and eighty four
sixty eight plus eighty seven,one hundred and fifty five
seventy nine minus fifty eight,twenty one
three times seventy,two hundred and ten
seventy seven divided by sixteen,four point eight one
eighty three plus forty four,one hundred and twenty seven
thirty divided by sixty nine,zero point four three
fifty three minus forty three,ten
seventy one plus two,seventy three
seventeen plus seventy six,ninety three
ninety one plus eighty seven,one hundred and seventy eight
sixty five times ninety five,six thousand one hundred and seventy five
ninety minus sixty nine,twenty one
ninety eight plus thirty two,one hundred and thirty
ninety three times five,four hundred and sixty five
eleven minus forty seven,minus thirty six
fourteen minus fifty five,minus forty one
fifty seven minus seventy seven,minus twenty
forty eight divided by sixty three,zero point seven six
seventy eight minus ninety six,minus eighteen
sixty three divided by seventy two,zero point eight eight
eighteen plus forty seven,sixty five
forty times sixteen,six hundred and forty
three divided by sixteen,zero point one nine
six minus fifteen,minus nine
four minus eighty six,minus eighty two
twenty eight times eighty nine,two thousand four hundred and ninety two
eighty nine divided by twenty nine,three point zero seven
eighty five plus eighty four,one hundred and sixty nine
fifty four divided by twenty three,two point three five
nineteen plus seventy six,ninety five
fifty two times fifty,two thousand six hundred
thirty five minus thirty seven,minus two
one divided by seventy one,zero point zero one
two times twenty five,fifty
twenty four minus four,twenty
seventy one divided by fifty seven,one point two five
fifty times fifty,two thousand five hundred
ninety three minus four,eighty nine
seven times eighty eight,six hundred and sixteen
ninety minus one,eighty nine
fifty two plus eighty nine,one hundred and forty one
seventy six minus five,seventy one
eleven plus thirty,forty one
twenty four divided by thirty,zero point eight
twenty six plus fifty eight,eighty four
thirty three times nine,two hundred and ninety seven
fifty four minus sixty six,minus twelve
fifty two minus sixty eight,minus sixteen
fifty four divided by fifty one,one point zero six
ninety one divided by seventy five,one point two one
eight plus fifty two,sixty
eighty four times thirty five,two thousand nine hundred and forty
fifty seven divided by fifty three,one point zero eight
twelve times thirty seven,four hundred and forty four
thirty one times seventy nine,two thousand four hundred and forty nine
fifty six plus fifty five,one hundred and eleven
thirty four times ninety nine,three thousand three hundred and sixty six
thirty six minus three,thirty three
seventy nine minus twenty,fifty nine
forty seven divided by eighty seven,zero point five four
seventy four plus twenty four,ninety eight
one hundred minus sixty two,thirty eight
twenty two plus ninety five,one hundred and seventeen
thirty nine times seventy two,two thousand eight hundred and eight
ninety five plus seventy,one hundred and sixty five
fifty divided by twelve,four point one seven
twenty two times sixty,one thousand three hundred and twenty
seventy one minus eleven,sixty
seventy six divided by fifty two,one point four six
ninety seven times fifty four,five thousand two hundred and thirty eight
thirty six times sixty three,two thousand two hundred and sixty eight
thirty five minus eighty two,minus forty seven
sixty nine divided by forty two,one point six four
twelve times twenty one,two hundred and fifty two
eighteen divided by seventy four,zero point two four
ninety seven minus twenty six,seventy one
fifty eight minus fifty three,five
forty one plus seventy six,one hundred and seventeen
sixty three plus sixty three,one hundred and twenty six
eighty five divided by thirty two,two point six six
eight divided by twenty four,zero point three three
one hundred plus twenty nine,one hundred and twenty nine
thirty times ninety,two thousand seven hundred
ninety plus eighty nine,one hundred and seventy nine
fifteen plus forty five,sixty
thirty four minus twenty nine,five
fifty five minus thirty four,twenty one
seven divided by eighteen,zero point three nine
forty two divided by thirty four,one point two four
twenty eight minus nine,nineteen
fifteen plus fifty seven,seventy two
six plus seventy one,seventy seven
eleven minus eighty one,minus seventy
twelve plus seventy four,eighty six
sixty five times ninety one,five thousand nine hundred and fifteen
fifty two minus twenty five,twenty seven
ninety five minus seventy eight,seventeen
nine times forty,three hundred and sixty
seventeen minus nineteen,minus two
sixty divided by thirty four,one point seven six
seventeen plus twenty six,forty three
fifteen divided by five,three
one hundred divided by twenty three,four point three five
ninety three times seventy one,six thousand six hundred and three
eighteen times ninety nine,one thousand seven hundred and eighty two
ninety eight plus eighty nine,one hundred and eighty seven
one hundred divided by eighty five,one point one eight
forty two minus ninety,minus forty eight
ninety three minus sixteen,seventy seven
fifty plus ninety two,one hundred and forty two
thirty three minus fifty nine,minus twenty six
sixty eight minus seventy five,minus seven
fifty times twenty five,one thousand two hundred and fifty
fifty five divided by twenty five,two point two
ninety nine times fifteen,one thousand four hundred and eighty five
seventy two times ninety four,six thousand seven hundred and sixty eight
thirteen times seventy five,nine hundred and seventy five
forty times eighty one,three thousand two hundred and forty
forty eight times sixty eight,three thousand two hundred and sixty four
eighty one minus eight,seventy three
